지역,lat,lon
서울 송파구,37.5038887,127.118049
경기 안양시,37.39503821,126.9383875
서울 강남구,37.49785228,127.0589852
경기 고양시,37.6596304,126.8258938
경기 성남시,37.41472189,127.1275199
부산 해운대구,35.17237819,129.1621369
서울 동대문구,37.57925708,127.0458364
서울 노원구,37.64632454,127.0694947
경기 안산시,37.30979387,126.8091923
경기 부천시,37.50049318,126.7866532
서울 영등포구,37.52277929,126.899471
부산 사하구,35.09822029,128.9775986
서울 강서구,37.55328064,126.838471
부산 부산진구,35.16388026,129.0517903
부산 영도구,35.0896055,129.0508921
경기 남양주시,37.65408323,127.2320581
경기 구리시,37.60379573,127.1339631
부산 수영구,35.15361433,129.1143673
서울 중구,37.56265648,126.9904946
서울 마포구,37.55254229,126.9286982
서울 용산구,37.53588642,126.9758346
서울 구로구,37.49474804,126.8709679
서울 동작구,37.50758904,126.9438977
경기 의왕시,37.35708359,126.9770145
부산 사상구,35.1553452,128.9862689
경기 의정부시,37.73757322,127.0612581
서울 은평구,37.60538911,126.9209356
서울 강북구,37.63347141,127.0228596
서울 관악구,37.47771708,126.9402365
서울 서초구,37.48486471,127.0186786
경기 양평군,37.50321016,127.5534587
서울 서대문구,37.57182618,126.9457684
부산 서구,35.09967608,129.0201517
경기 수원시,37.2756663,127.0125579
부산 동래구,35.20429286,129.0856057
부산 연제구,35.17736236,129.0800426
경기 용인시,37.23324754,127.2046293
부산 남구,35.13216543,129.0855409
서울 강동구,37.53833319,127.1361599
서울 양천구,37.52762729,126.853749
서울 종로구,37.57792654,126.9823285
경기 군포시,37.3499313,126.9304754
부산 동구,35.12959113,129.0459606
경기 광명시,37.46316304,126.864132
부산 강서구,35.13601997,128.8909286
경기 과천시,37.43239419,126.9963983
서울 성북구,37.59150834,127.0197979
경기 시흥시,37.39378906,126.7977865
부산 금정구,35.25090783,129.0930334
경기 광주시,37.40241405,127.29787
경기 김포시,37.67325884,126.6285922
경기 파주시,37.83586669,126.8053702
서울 성동구,37.55458547,127.0372869
서울 중랑구,37.60243295,127.0920256
부산 중구,35.10216988,129.0313469
경기 화성시,37.1719084,126.8930734
서울 도봉구,37.66674689,127.0450621
부산 기장군,35.29083323,129.2077298
부산 북구,35.20822139,128.9993591
경기 하남시,37.52870922,127.194767
서울 광진구,37.54342118,127.0825456
서울 금천구,37.46075277,126.8954177
경기 평택시,37.01815951,127.0145209
경기 동두천시,37.9120392,127.0619057
경기 양주시,37.82028743,127.0087714
경기 안성시,37.02604727,127.2835418
경기 오산시,37.15650487,127.0553096
경기 포천시,37.93535745,127.2232244
경기 이천시,37.22158338,127.4778676
경기 여주시,37.30485142,127.6040042
경기 가평군,37.781494,127.4516809
경기 연천군,38.05808148,127.0095713
